epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,186.8,0.94453,4.61208,1.46381,0.35959,0.5625,0.34851,0.28852,0.74489,18.4435,1.26093,0.00015827,0.00015827,0.00015827
2,358.592,0.65243,2.13087,1.25925,0.39157,0.4497,0.35404,0.28748,0.72946,476.705,1.18695,0.000322726,0.000322726,0.000322726
3,528.6,0.72271,1.68969,1.27463,0.61877,0.66686,0.70647,0.50946,0.94724,5.46091,1.53006,0.000484983,0.000484983,0.000484983
4,700.773,0.74818,1.50157,1.28669,0.5048,0.69719,0.72374,0.38019,1.7763,7.0779,2.44709,0.00064504,0.00064504,0.00064504
5,870.552,0.86511,1.5483,1.38197,0.68188,0.77934,0.86396,0.57536,1.06928,2.0434,1.64896,0.000802899,0.000802899,0.000802899
6,1040.75,0.83649,1.33861,1.33891,0.87023,0.63826,0.79996,0.65135,0.77344,1.77805,1.37782,0.000805511,0.000805511,0.000805511
7,1212.38,0.78606,1.27767,1.29315,0.85243,0.75531,0.995,0.79272,0.84244,1.64654,1.39692,0.000800013,0.000800013,0.000800013
8,1384.09,0.7712,1.27722,1.26548,0.88216,0.55673,0.65286,0.50972,0.97692,3.09793,1.52126,0.000794515,0.000794515,0.000794515
9,1553.62,0.73892,1.24307,1.26929,0.65996,0.83479,0.86198,0.64791,0.86563,2.93799,1.4714,0.000789018,0.000789018,0.000789018
10,1724.17,0.65487,1.06704,1.22124,0.89881,0.75,0.89583,0.74919,0.72949,1.38851,1.2785,0.00078352,0.00078352,0.00078352
11,1893.26,0.74187,1.0866,1.26816,0.92589,0.73453,0.995,0.77727,0.88558,1.50135,1.40902,0.000778022,0.000778022,0.000778022
12,2062.26,0.6795,1.02349,1.22354,0.69658,0.60528,0.643,0.38212,1.51257,4.46718,2.44701,0.000772524,0.000772524,0.000772524
13,2231.07,0.68292,1.01128,1.22703,0.72887,0.8125,0.79248,0.68155,0.67396,1.93395,1.13614,0.000767026,0.000767026,0.000767026
14,2402.34,0.66297,0.96285,1.2076,0.86671,0.9554,0.995,0.87064,0.62907,0.97874,1.19491,0.000761529,0.000761529,0.000761529
15,2572.49,0.65037,0.98939,1.17702,0.92761,0.94382,0.995,0.89251,0.55718,0.58335,1.04962,0.000756031,0.000756031,0.000756031
16,2744.25,0.61578,0.94517,1.17716,0.8322,0.96658,0.995,0.81879,0.75292,1.6284,1.20272,0.000750533,0.000750533,0.000750533
17,2914.22,0.59465,0.91326,1.16269,0.92172,0.94902,0.995,0.83033,0.70889,1.07887,1.28653,0.000745035,0.000745035,0.000745035
18,3083.59,0.6033,0.90598,1.17414,0.87902,0.98024,0.995,0.89267,0.56588,0.58682,1.06885,0.000739537,0.000739537,0.000739537
19,3255.81,0.60492,0.89561,1.17509,0.86845,0.95004,0.995,0.74983,0.82454,0.65181,1.33126,0.00073404,0.00073404,0.00073404
20,3425.78,0.63299,0.91182,1.20209,0.87676,0.98552,0.97417,0.77347,0.90811,0.61598,1.32401,0.000728542,0.000728542,0.000728542
21,3595.7,0.59544,0.95492,1.15694,0.8914,0.96477,0.995,0.847,0.67273,0.58133,1.12715,0.000723044,0.000723044,0.000723044
22,3765.21,0.56034,0.94185,1.14986,0.86957,0.97297,0.995,0.87075,0.63017,0.52657,1.05721,0.000717546,0.000717546,0.000717546
23,3935.71,0.56436,0.79983,1.15181,0.95486,1,0.995,0.83348,0.68075,0.73192,1.13179,0.000712048,0.000712048,0.000712048
24,4106.42,0.5103,0.81969,1.10493,0.85063,0.95855,0.995,0.83035,0.68179,0.628,1.15677,0.000706551,0.000706551,0.000706551
25,4275.13,0.57265,0.82694,1.14618,0.7568,0.9375,0.96375,0.83048,0.7059,0.68922,1.22672,0.000701053,0.000701053,0.000701053
26,4444.65,0.5383,0.83375,1.13275,0.9072,0.95523,0.995,0.87059,0.64426,0.93544,1.20808,0.000695555,0.000695555,0.000695555
27,4614.2,0.53472,0.77107,1.11199,0.84455,0.96336,0.995,0.76911,0.80179,0.78927,1.23288,0.000690057,0.000690057,0.000690057
28,4784.17,0.54921,0.75016,1.13012,0.9128,0.95975,0.995,0.87454,0.53447,0.43973,1.01312,0.000684559,0.000684559,0.000684559
